,name,index,coordinates,northeast,southwest
118,נהר דיאלא,0,"(33.273305, 44.5375385)","(33.3311736, 44.5409453)","(33.2200882, 44.5058292)"

119,Duhok,0,"(36.8632107, 42.9884805)","(36.8901929, 43.1103516)","(36.8184925, 42.879467)"

120,Duhok,0,"(36.8632107, 42.9884805)","(36.8901929, 43.1103516)","(36.8184925, 42.879467)"

121,دور كاتليمو,0,"(35.6431481, 40.7408464)","(35.64449792989272, 40.74219622989272)","(35.64179827010728, 40.73949657010727)"

122,The Ziggurat of Dur-Kurigalzu,0,"(33.353535, 44.2021242)","(33.35487077989272, 44.2036191)","(33.35217112010728, 44.1976395)"

123,עירק,1,"(33.223191, 43.679291)","(37.380645, 48.6350999)","(29.0612079, 38.7936741)"

124,המוזיאון הלאומי של עיראק,2,"(33.3284501, 44.3859098)","(33.32935942989272, 44.38738662989272)","(33.32665977010728, 44.38468697010728)"

125,דור שרוכין,0,"(36.5101532, 43.2234763)","(36.5149825, 43.2275319)","(36.5052554, 43.2197428)"

126,דור שרוכין,0,"(36.5101532, 43.2234763)","(36.5149825, 43.2275319)","(36.5052554, 43.2197428)"

127,דור שרוכין,0,"(36.5101532, 43.2234763)","(36.5149825, 43.2275319)","(36.5052554, 43.2197428)"

128,דור שרוכין,0,"(36.5101532, 43.2234763)","(36.5149825, 43.2275319)","(36.5052554, 43.2197428)"

129,Düzceli,0,"(39.1764, 42.72739989999999)","(39.1850492, 42.7434073)","(39.1677497, 42.7113925)"

130,Janfida,0,"(40.0416345, 44.0273578)","(40.0541616, 44.0442753)","(40.03477790000001, 43.9988708)"

131,e-4-all.com,0,"(31.770813, 35.200618)","(31.77215947989272, 35.20193097989272)","(31.76945982010728, 35.19923132010727)"

132,e-4-all.com,0,"(31.770813, 35.200618)","(31.77215947989272, 35.20193097989272)","(31.76945982010728, 35.19923132010727)"

133,המדאן,0,"(34.7988575, 48.5150225)","(34.8825162, 48.5836459)","(34.74214140000001, 48.4364891)"

134,המדאן,0,"(34.7988575, 48.5150225)","(34.8825162, 48.5836459)","(34.74214140000001, 48.4364891)"

135,Edremit,0,"(39.6655423, 26.8439147)","(39.7653201, 27.1010949)","(39.551713, 26.6517611)"

136,Embassy of Iraq,0,"(30.0482485, 31.2044828)","(30.04962797989272, 31.20578712989272)","(30.04692832010728, 31.20308747010728)"

137,מצרים,0,"(26.820553, 30.802498)","(31.8122, 37.0569)","(21.9999999, 24.696775)"

138,Kharga,0,"(25.4390388, 30.5586043)","(25.4827594, 30.5699641)","(25.4091669, 30.5212265)"

139,Tall al Laḩm,0,"(31.6852778, 46.3430556)","(31.6947722, 46.359063)","(31.6757825, 46.3270482)"

140,עירק,0,"(33.223191, 43.679291)","(37.380645, 48.6350999)","(29.0612079, 38.7936741)"

141,Al A'elam Primary school,1,"(33.2436259, 44.3401806)","(33.24500202989272, 44.34170807989273)","(33.24230237010728, 44.33900842010728)"

142,עילאם,2,"(33.29576180000001, 46.670534)","(34.0870302, 47.9499759)","(32.1080964, 45.7531651)"

143,אילאם,3,"(33.6349736, 46.415281)","(33.6528069, 46.44824269999999)","(33.6210342, 46.3797726)"

144,איראן,4,"(32.427908, 53.688046)","(39.782056, 63.3333366)","(24.8066999, 44.0326949)"

145,המוזיאון הבריטי,5,"(51.5194133, -0.1269566)","(51.52145429999999, -0.12477735)","(51.51732029999999, -0.12914235)"

146,Providence Orenco Medical Plaza,6,"(45.5299022, -122.9251015)","(45.53126087989273, -122.9237351701073)","(45.52856122010728, -122.9264348298927)"

147,Elar,0,"(40.2648178, 44.62620769999999)","(40.2700877, 44.6337605)","(40.258012, 44.6148884)"

148,Elma,0,"(42.8212288, -78.6341996)","(42.864776, -78.57691000000001)","(42.781841, -78.69696300000001)"

149,Elmau,1,"(47.459711, 11.180518)","(47.4672545, 11.1965254)","(47.4521664, 11.1645106)"

150,Elmalı,0,"(36.737838, 29.916662)","(36.749274, 29.939809)","(36.71644, 29.907322)"

151,Elvend,0,"(40.1201571, 47.8549267)","(40.1270516, 47.8704751)","(40.1131403, 47.8400574)"

152,Mount Kucukerek,0,"(38.4686111, 43.5180556)","(38.4773467, 43.534063)","(38.4598744, 43.5020482)"

153,ארידו,0,"(30.8259125, 45.9946614)","(30.82726232989272, 45.99601122989273)","(30.82456267010728, 45.99331157010729)"

154,עירק,0,"(33.223191, 43.679291)","(37.380645, 48.6350999)","(29.0612079, 38.7936741)"

155,Khafajah / Khafaje,1,"(33.354812, 44.55583550000001)","(33.35810360000001, 44.55769565000001)","(33.35371479999998, 44.55025504999998)"

156,Baqubah,2,"(33.7517053, 44.6080708)","(33.8130278, 44.7201505)","(33.6717115, 44.5144402)"

157,קארבאלה,3,"(32.6027147, 44.01969870000001)","(32.6576357, 44.06719469999999)","(32.557394, 43.9558696)"

158,Tulūl ad Dayr,4,"(33.0997222, 44.2983333)","(33.109069, 44.3143407)","(33.0903744, 44.2823259)"

159,Hit,5,"(33.6435199, 42.8253662)","(33.6586385, 42.8611851)","(33.6220526, 42.8027344)"

160,מסופוטמיה,6,"(34.5337527, 43.483738)","(37.06718100000001, 48.575909)","(29.1030541, 41.218105)"

161,Faqus,0,"(30.7292723, 31.7977797)","(30.7388631, 31.8137871)","(30.7196805, 31.7817723)"

162,Garni,0,"(40.1185127, 44.71863279999999)","(40.151686, 44.76340769999999)","(40.096819, 44.6582222)"

163,המוזיאון הלאומי של עיראק,0,"(33.3284501, 44.3859098)","(33.32935942989272, 44.38738662989272)","(33.32665977010728, 44.38468697010728)"

164,המוזיאון הלאומי של עיראק,0,"(33.3284501, 44.3859098)","(33.32935942989272, 44.38738662989272)","(33.32665977010728, 44.38468697010728)"

165,Gharsana,0,"(29.0272916, 73.07889569999999)","(29.0346718, 73.1014395)","(29.0166222, 73.0596398)"

166,Gavar,0,"(40.3513253, 45.12726749999999)","(40.3838532, 45.1844071)","(40.3252481, 45.0897359)"

167,Gawra De,0,"(35.7493248, 45.0306493)","(35.75091837989272, 45.032605)","(35.74821872010727, 45.0291502)"

168,גרלה,0,"(47.0317645, 23.909253)","(47.0448028, 23.932085)","(47.0124496, 23.8859081)"

169,R. Antônio Guganis - Jardim São Paulo,0,"(-23.4979185, -46.6183416)","(-23.49656867010728, -46.61699177010728)","(-23.49926832989272, -46.61969142989272)"

170,Gövelek,0,"(38.53470000000001, 43.62039980000001)","(38.5371945, 43.6274859)","(38.5289205, 43.6123613)"

171,Gusak,0,"(44.8571135, 17.530237)","(44.86502249999999, 17.5462444)","(44.84920340000001, 17.5142296)"

172,Habibuşağı,0,"(38.442699, 38.78097)","(38.4514377, 38.7969774)","(38.4339592, 38.7649626)"

173,`Iraq al Haddad,0,"(32.15, 35.35)","(32.1594465, 35.3660074)","(32.1405525, 35.33399259999999)"

174,Khafajah / Khafaje,0,"(33.354812, 44.55583550000001)","(33.35810360000001, 44.55769565000001)","(33.35371479999998, 44.55025504999998)"

175,Hafttapeh,0,"(32.0793399, 48.399518)","(32.0923453, 48.4212597)","(32.0619502, 48.3103267)"

176,Hafttapeh,0,"(32.0793399, 48.399518)","(32.0923453, 48.4212597)","(32.0619502, 48.3103267)"

177,hagi.co.il,0,"(32.8102822, 34.998596)","(32.81162047989272, 34.99991717989273)","(32.80892082010728, 34.99721752010728)"

178,Hammam al-Alil,0,"(36.1581669, 43.2532598)","(36.1751237, 43.2643748)","(36.1424495, 43.24162949999999)"

179,חמאם - מתחם אירועים | HAMAM - Event Venue,0,"(32.0545685, 34.7539334)","(32.05617912989273, 34.75535312989273)","(32.05347947010728, 34.75265347010728)"

